Epoch 210/300: Train Loss: 0.0013, Train Acc: 1.0000, Test Acc: 0.9790, Best Test Acc: 0.9832
Epoch 211/300: Train Loss: 0.0014, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 212/300: Train Loss: 0.0015, Train Acc: 1.0000, Test Acc: 0.9790, Best Test Acc: 0.9832
Epoch 213/300: Train Loss: 0.0016, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9832
Epoch 214/300: Train Loss: 0.0014, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9832
Epoch 215/300: Train Loss: 0.0015, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9832
Epoch 216/300: Train Loss: 0.0015, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 217/300: Train Loss: 0.0014, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9832
Epoch 218/300: Train Loss: 0.0016, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9832
Epoch 219/300: Train Loss: 0.0016, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9832
Epoch 220/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9832
Epoch 221/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 222/300: Train Loss: 0.0016, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9832
Epoch 223/300: Train Loss: 0.0016, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9832
Epoch 224/300: Train Loss: 0.0015, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 225/300: Train Loss: 0.0015, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9832
Epoch 226/300: Train Loss: 0.0015, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9832
Epoch 227/300: Train Loss: 0.0015, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9832
Epoch 228/300: Train Loss: 0.0015, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 229/300: Train Loss: 0.0015, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9832
Epoch 230/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9832
Epoch 231/300: Train Loss: 0.0016, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9832
Epoch 232/300: Train Loss: 0.0014, Train Acc: 1.0000, Test Acc: 0.9790, Best Test Acc: 0.9832
Epoch 233/300: Train Loss: 0.0014, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9832
Epoch 234/300: Train Loss: 0.0012, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9832
Epoch 235/300: Train Loss: 0.0013, Train Acc: 1.0000, Test Acc: 0.9790, Best Test Acc: 0.9832
Epoch 236/300: Train Loss: 0.0015, Train Acc: 1.0000, Test Acc: 0.9790, Best Test Acc: 0.9832
Epoch 237/300: Train Loss: 0.0014, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9832
